frame_index,local_time,utc_time,sample_name,radius_m,direction,dx_vehicle_m,dy_vehicle_m,center_lon,center_lat,sample_lon,sample_lat,heading_deg,heading_convention,dem_sampling_mode,dem_mode,score,raw_score,norm_score,gradient_score,edge_iou,valid_count,valid_ratio,rough_min,rough_max,rough_mean,roughness_scale_m,dem_roughness_window_m,norm_lower_percentile,norm_upper_percentile
14,1780226425205.2644,1780226425205.2644,center,0.0,center,0.0,0.0,113.05863301760435,28.666087466214822,113.05863301760435,28.666087466214822,248.02236166383224,math,crop_rotate,local_roughness,0.118207417828038,0.16173128644162588,0.1433843459288102,0.08743561681598307,0.10392609699769054,41421,0.165684,0,255,5.028940200805664,2.5,1.0,2.0,98.0
15,1780226425448.057,1780226425448.057,center,0.0,center,0.0,0.0,113.0586330160987,28.666087462155467,113.0586330160987,28.666087462155467,248.0209671488125,math,crop_rotate,local_roughness,0.1186063526174147,0.16154034189726488,0.14281699618432425,0.08901556603563635,0.10326425331317264,41347,0.165388,0,255,5.032172203063965,2.5,1.0,2.0,98.0
16,1780226425620.4238,1780226425620.4238,center,0.0,center,0.0,0.0,113.05863301220522,28.66608745840571,113.05863301220522,28.66608745840571,248.02080456515952,math,crop_rotate,local_roughness,0.11973789275548063,0.16252788361234446,0.1444855658941139,0.08949073669715106,0.10392506690454952,41243,0.164972,0,255,5.030104160308838,2.5,1.0,2.0,98.0
17,1780226425787.668,1780226425787.668,center,0.0,center,0.0,0.0,113.05863300740927,28.666087454029615,113.05863300740927,28.666087454029615,248.02161576523804,math,crop_rotate,local_roughness,0.11908844823583661,0.164256009575428,0.1456063009832809,0.08667773932229356,0.10259844628984731,41149,0.164596,0,255,5.022731781005859,2.5,1.0,2.0,98.0
18,1780226426020.6306,1780226426020.6306,center,0.0,center,0.0,0.0,113.05863299977092,28.666087449765737,113.05863299977092,28.666087449765737,248.02102718230748,math,crop_rotate,local_roughness,0.1193874884590691,0.16128377435883626,0.14359174413753661,0.08980450929649768,0.10534296672910534,41307,0.165228,0,255,5.033755779266357,2.5,1.0,2.0,98.0
19,1780226426194.039,1780226426194.039,center,0.0,center,0.0,0.0,113.05863300585722,28.666087449197228,113.05863300585722,28.666087449197228,248.02400676017206,math,crop_rotate,local_roughness,0.11981743377941662,0.1613747758421672,0.1438805270992992,0.09040698638844902,0.10424091233071989,41309,0.165236,0,255,5.037643909454346,2.5,1.0,2.0,98.0
20,1780226426365.9382,1780226426365.9382,center,0.0,center,0.0,0.0,113.05863300893489,28.666087447307508,113.05863300893489,28.666087447307508,248.020982118671,math,crop_rotate,local_roughness,0.11856331663949307,0.1619387041686299,0.14356785322822188,0.08800221636438005,0.10444285202436403,41096,0.164384,0,255,5.027815818786621,2.5,1.0,2.0,98.0
21,1780226426533.5063,1780226426533.5063,center,0.0,center,0.0,0.0,113.05863300660768,28.666087445919818,113.05863300660768,28.666087445919818,248.02361401530723,math,crop_rotate,local_roughness,0.1176057492633221,0.16163169040359582,0.14299022736453096,0.08658027602851122,0.10409617097061442,41326,0.165304,0,255,5.035604000091553,2.5,1.0,2.0,98.0
22,1780226426779.3262,1780226426779.3262,center,0.0,center,0.0,0.0,113.05863300711142,28.66608744370416,113.05863300711142,28.66608744370416,248.02199880497452,math,crop_rotate,local_roughness,0.11780382829345151,0.1599738586460304,0.14196316525245717,0.08827574978800015,0.10557447571249327,41117,0.164468,0,255,5.02672815322876,2.5,1.0,2.0,98.0
23,1780226426949.269,1780226426949.269,center,0.0,center,0.0,0.0,113.0586330039329,28.666087440864885,113.0586330039329,28.666087440864885,248.02224829052662,math,crop_rotate,local_roughness,0.11779364848269622,0.16107832233794928,0.14242555718196923,0.08768798229469585,0.10415175375805297,41133,0.164532,0,255,5.027132034301758,2.5,1.0,2.0,98.0
24,1780226427112.5154,1780226427112.5154,center,0.0,center,0.0,0.0,113.05863300790767,28.666087438715962,113.05863300790767,28.666087438715962,248.02214864198982,math,crop_rotate,local_roughness,0.11761374992402411,0.16010369474471806,0.14181534507442892,0.08803402251797376,0.10517857142857143,41257,0.165028,0,255,5.038196086883545,2.5,1.0,2.0,98.0
25,1780226427341.2822,1780226427341.2822,center,0.0,center,0.0,0.0,113.05863301388936,28.666087434178063,113.05863301388936,28.666087434178063,248.022810984054,math,crop_rotate,local_roughness,0.11889425012081861,0.16374892605739244,0.14497329514894527,0.08701986175310822,0.10425608011444921,41162,0.164648,0,255,5.026668071746826,2.5,1.0,2.0,98.0
26,1780226427516.532,1780226427516.532,center,0.0,center,0.0,0.0,113.05863301582168,28.66608743084892,113.05863301582168,28.66608743084892,248.02389426593288,math,crop_rotate,local_roughness,0.11897511412276404,0.16310982930031204,0.14388819972660413,0.08852578727362613,0.10491891407579966,41107,0.164428,0,255,5.021615982055664,2.5,1.0,2.0,98.0
